Week	entropy
1	2.42668293886
2	2.55023580812
3	2.74916030514
4	2.7001825828
5	2.6830940596
6	2.77525211612
7	2.45058765462
8	2.7948629187
9	2.71839733226
10	2.77626102772
11	2.83338374029
12	2.65249488235
13	2.87830181744
14	2.83347467005
15	2.86754412938
16	2.82123895264
17	2.67406433134
18	2.8701132859
19	2.6570207445
20	2.72340263546
21	2.3270800501
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	1.90481960044
38	2.74405839592
39	2.86051499129
40	2.9261318001
41	2.98883250703
42	3.05846351566
43	3.11211208172
44	1.80217738381
45	2.34106068377
46	2.72211171283
47	3.08407396376
48	3.04276891296
49	3.07154370213
50	2.5425203771
51	2.92279691132
52	3.09678139047
53	3.02502886417
54	3.0397993336
55	3.1388036958
56	3.2664611815
57	3.23357755129
58	3.31906620369
59	3.26666659793
60	3.22899484962
61	3.30344479229
62	3.29803260294
63	3.2890666535
64	3.24647033402
65	3.27600456162
66	3.25277435472
67	3.27806174219
68	3.22316318878
69	3.16138886483
70	3.06847367834
71	3.25317200671
72	3.23468209487
73	3.10535403685
74	2.99986771453
75	3.18020573425
76	3.19055061688
77	3.20270587266
78	3.24511238825
79	3.17252230941
80	3.21431538325
81	3.25137710509
82	3.22299604678
83	3.22305932114
84	3.16961021356
85	3.22128361871
86	3.22566161099
87	3.18595436212
88	3.17122338114
89	3.19473370389
90	3.17465072083
91	3.13307573859
92	3.24680724981
93	3.27715871754
94	3.26757783747
95	3.3233071119
96	3.24863940739
97	3.23878399148
98	3.09923029285
99	3.17301955871
100	3.22118745141
101	3.26300573174
102	3.18647487419
103	3.23206820195
104	3.27690847768
105	3.26004154898
106	3.21848940882
107	3.20290466841
108	3.28222844307
109	3.30888964397
110	3.28116402989
111	3.26168287895
112	3.38158883667
113	3.31547302357
114	3.30786325018
115	3.30542607129
116	3.23485510789
117	3.313534577
118	3.27408795175
119	3.31447271051
120	3.31700176834
121	3.31920932391
122	3.34564938798
123	3.29304440629
124	3.33634541192
125	3.30823336314
126	3.33670208191
127	3.31099087821
128	3.33768415867
129	3.355685878
130	3.2889635217
131	3.30746219741
132	3.3189664885
133	3.35691968822
134	3.32466340121
135	3.31739436043
136	3.32819250641
137	3.3052923784
138	3.30355289846
139	3.41116411226
140	3.37332464129
141	3.34913212204
142	3.37756016246
143	3.33314451906
144	3.38314505708
145	3.35706552113
146	3.37567065604
147	3.36367482829
148	3.32134667442
149	3.30789313442
150	3.25496967705
151	3.31241462988
152	3.36860646384
153	3.37641096305
154	3.35247556989
155	3.36439398281
156	3.35180156877
157	3.41463055398
158	3.39405075214
159	3.37308152078
160	3.40810115015
161	3.39461355439
162	2.96029271631
163	3.41686688361
164	3.22212751654
165	3.413613729
