Week	cond-entropy
2	0.0994680459085
3	0.117538895759
4	0.150514997832
5	0.135463498049
6	0.137184991553
7	0.148251663109
8	0.150514997832
9	0.145382165145
10	0.113951259143
11	0.150514997832
12	0
13	0.0
14	0.133206352981
15	0.150514997832
16	0.0
17	0.0919642371868
18	0.0462053183369
19	0.113479912616
20	0.150514997832
21	0.0
22	0.150514997832
23	0
24	0
25	0
26	0
27	0
28	0.0
29	0.115302231956
30	0.150514997832
31	0
32	0
33	0
34	0.0
35	0.113424986603
36	0.150514997832
37	0
38	0
39	0
40	0
41	0
42	0.0
43	0.0690043137792
44	0.150514997832
45	0.0
46	0.150514997832
47	0
48	0
49	0
50	0.0
51	0.126401494484
52	0.132058240821
53	0.124267283429
54	0.142216418233
55	0.119752389446
56	0.0606701508398
57	0.119791117402
58	0.144410873792
59	0.0390353217645
60	0.0858510851807
61	0.111889074686
62	0.116422876022
63	0.0733571807247
64	0.0635786207406
65	0.125774937235
66	0.132218567285
67	0.0916110757547
68	0.150514997832
69	0.0
70	0.150514997832
71	0
72	0.0
73	0.147538353762
74	0.0827690171522
75	0.150514997832
76	0.0
77	0.144152855083
78	0.137592174342
79	0.0858186996911
80	0.139751927922
81	0.0787189562643
82	0.110014463332
83	0.0923048249847
84	0.0960623192006
85	0.0899527452811
86	0.0672265492754
87	0.10152944271
88	0.147406507277
89	0.0367775803152
90	0.0156620210551
91	0.138580168973
92	0.0626942815942
93	0.0155552082873
94	0.110019009453
95	0.0339199810047
96	0.132859115168
97	0.113648341412
98	0.0806539025595
99	0.0747068048807
100	0.106976282115
101	0.0708235777308
102	0.0629004873382
103	0.092990556753
104	0.0776843719372
105	0.0612858643165
106	0.00995120577188
107	0.111838594648
108	0.0502676723514
109	0.0427870190478
110	0.0595162528052
111	0.0161617065634
112	0.0215671459258
113	0.0417624419198
114	0.0751164350068
115	0.0376170604975
116	0.070672792837
117	0.0548573354162
118	0.0721927069291
119	0.0612705359542
120	0.0451529055645
121	0.0168369789311
122	0.0396440018837
123	0.0344535029512
124	0.0327814830669
125	0.109048015055
126	0.0377359800275
127	0.00608214191864
128	0.0817065554368
129	0.0319407116702
130	0.0368887606105
131	0.0175864034729
132	-0.00154996786464
133	0.0344339542874
134	0.0462038365479
135	0.0447039344896
136	-0.00691215366108
137	0.0385138958121
138	0.0582236461134
139	0.0343796386934
140	0.0521730894934
141	0.0451254184037
142	0.000755403368782
143	0.0264935392571
144	0.023644798636
145	0.0237858485788
146	-0.0392124870665
147	0.0119868144822
148	0.0640242939216
149	0.0505776493686
150	0.0799126625305
151	0.0797524803331
152	0.0147895325632
153	0.0514745089687
154	0.0783307560549
155	0.0232132841803
156	0.0165390549532
157	0.0308421995236
158	0.0294456619537
159	0.0284921028609
160	0.0240786652928
161	0.0185394074264
162	-0.00803590215332
163	0.0260595150233
164	0.0129929785317
165	0.00447082068798
166	0.0136840944317
167	0.00557845337893
168	0.001488676828
169	0.012661332657
170	-0.00087611583592
171	0.0119534210061
172	0.0057415647647
173	0.00830483810707
174	0.00863984255299
175	0.0149629534959
176	0.0101849385786
177	0.0248824854249
178	0.0102577854871
179	0.00483953440698
180	0.0140946842126
181	0.00564246077338
182	0.00726807855878
183	0.00393372194918
184	0.0127358996586
185	0.00943813107262
186	0.0118837712299
187	0.0049107584572
188	0.0114796539369
189	0.00942364242201
190	0.01517463493
191	0.00961323671558
192	0.00762381543944
193	0.0239615814745
194	0.00985155440475
195	0.00472263545048
196	0.0114526598112
197	0.00657334348352
198	0.00973027882428
199	0.0131152594526
200	-0.00119898756431
201	-0.015334055233
202	0.010131615711
203	0.0239387070272
204	0.0254271746223
205	0.0129485383665
206	0.0239248034381
207	0.017683590763
208	-0.00579894151004
209	0.0162935646815
210	0.036286944442
211	0.0396206971726
212	0.0195748054417
213	0.0300325146704
214	0.0113415856079
215	0.0286142930627
216	0.0221554144563
217	0.026058210388
218	0.0149714077064
219	0.0405538741968
220	0.0307874484807
221	0.03121918118
222	0.0279230239583
223	0.03325436331
224	0.0189412593792
225	0.0218418786271
226	0.00912509565452
227	0.0237604520902
228	0.0284188208727
229	0.038837290795
230	0.015751047532
231	0.0183640519208
232	0.0143227039057
233	0.0233417322996
234	0.0219894147744
235	0.0215261781862
236	0.0367618560021
237	0.0169124751534
238	0.0223704839226
239	0.0225943533143
240	-0.00281884075595
241	0.026843654737
242	0.0285073099298
243	0.0313527895514
244	0.0203246680099
245	0.014896280935
246	-0.00484383458358
247	0.0323953795189
248	0.0374664272751
249	0.00965480205659
250	0.0143353062646
251	0.0402108393649
252	0.0237513590703
253	-0.00331885002145
254	0.00582961313505
255	0.0329571186461
256	0.0286677947308
257	0.0270670964445
258	0.0295711383147
259	0.023627082037
260	0.0222404401509
261	0.0331576051903
262	0.0254839254556
263	0.0341260002269
264	0.0270225718235
265	0.0198236529584
266	0.0174608248003
267	0.033612728732
268	0.0185559798734
269	0.00272436205295
270	-0.0139170403763
271	-0.0239648951203
272	0.0478196736978
273	0.0481350488369
274	0.0422668101463
275	0.0475753911174
276	0.0562974934094
277	0.0219016674064
278	0.0255239615465
279	0.0454422820785
280	0.0180191966045
281	0.0565166114785
282	0.0305991935129
